file,company_name,title,question_type,python_difficulty,mySQL_difficulty,postgreSQL_difficulty,prompt,source,question_id
averageTimeBetweenSteps_facebook_product_features_realizations.csv,Meta/Facebook,Average Time Between Steps,general practice,hard,hard,hard,"Find the average time (in seconds), per product, that needed to progress between steps. You can ignore products that were never used. Output the feature id and the average time.",https://platform.stratascratch.com/coding/9793-average-time-between-steps?code_type=2,9793
viewsPerKeyword_facebook_posts.csv,Meta/Facebook,Views Per Keyword,interview questions,hard,hard,hard,"Create a report showing how many views each keyword has. Output the keyword and the total views, and order records with highest view count first.",https://platform.stratascratch.com/coding/9791-views-per-keyword?code_type=2,9791
viewsPerKeyword_facebook_post_views.csv,Meta/Facebook,Views Per Keyword,interview questions,hard,hard,hard,"Create a report showing how many views each keyword has. Output the keyword and the total views, and order records with highest view count first.",https://platform.stratascratch.com/coding/9791-views-per-keyword?code_type=2,9791
commentsDistribution_fb_users.csv,Meta/Facebook,Comments Distribution,interview questions,hard,hard,hard,"Write a query to calculate the distribution of comments by the count of users that joined Meta/Facebook between 2018 and 2020, for the month of January 2020. The output should contain a count of comments and the corresponding number of users that made that number of comments in Jan-2020. For example, you'll be counting how many users made 1 comment, 2 comments, 3 comments, 4 comments, etc in Jan-2020. Your left column in the output will be the number of comments while your right column in the output will be the number of users. Sort the output from the least number of comments to highest. To add some complexity, there might be a bug where an user post is dated before the user join date. You'll want to remove these posts from the result.",https://platform.stratascratch.com/coding/10297-comments-distribution?code_type=2,10297
commentsDistribution_fb_comments.csv,Meta/Facebook,Comments Distribution,interview questions,hard,hard,hard,"Write a query to calculate the distribution of comments by the count of users that joined Meta/Facebook between 2018 and 2020, for the month of January 2020. The output should contain a count of comments and the corresponding number of users that made that number of comments in Jan-2020. For example, you'll be counting how many users made 1 comment, 2 comments, 3 comments, 4 comments, etc in Jan-2020. Your left column in the output will be the number of comments while your right column in the output will be the number of users. Sort the output from the least number of comments to highest. To add some complexity, there might be a bug where an user post is dated before the user join date. You'll want to remove these posts from the result.",https://platform.stratascratch.com/coding/10297-comments-distribution?code_type=2,10297
topPercentileFraud_fraud_score.csv,Netflix,Top Percentile Fraud,interview questions,medium,hard,hard,"ABC Corp is a mid-sized insurer in the US and in the recent past their fraudulent claims have increased significantly for their personal auto insurance portfolio. They have developed a ML based predictive model to identify propensity of fraudulent claims. Now, they assign highly experienced claim adjusters for top 5 percentile of claims identified by the model. Your objective is to identify the top 5 percentile of claims from each state. Your output should be policy number, state, claim cost, and fraud score.",https://platform.stratascratch.com/coding/10303-top-percentile-fraud?code_type=2,10303
top3Facilities_los_angeles_restaurant_health_inspections.csv,City of Los Angeles,Top 3 Facilities,interview questions,hard,hard,hard,"Find the top 3 facilities for each owner. The top 3 facilities can be identified using the highest average score for each owner name and facility address grouping. The output should include 4 columns: owner name, top 1 facility address, top 2 facility address, and top 3 facility address. Order facilities with the same score alphabetically.",https://platform.stratascratch.com/coding/9716-top-3-facilities?code_type=2,9716
findThePercentageOfRidesForEachWeatherAndTheHour_lyft_rides.csv,Lyft,Find the percentage of rides for each weather and the hour,interview questions,medium,hard,hard,"Find the percentage of total rides each weather-hour combination constitutes Output the weather, hour along with the corresponding percentage. Sort records by the weather and the hour in ascending order.",https://platform.stratascratch.com/coding/10019-find-the-probability-of-ordering-a-ride-based-on-the-weather-and-the-hour?code_type=2,10019
uniqueHighestSalary_employee.csv,Salesforce,Unique Highest Salary,interview questions,medium,hard,hard,Find the highest salary among salaries that appears only once.,https://platform.stratascratch.com/coding/9919-unique-highest-salary?code_type=2,9919
worstBusinesses_sf_restaurant_health_violations.csv,City of San Francisco,Worst Businesses,interview questions,hard,hard,hard,"For every year, find the worst business in the dataset. The worst business has the most violations during the year. You should output the year, business name, and number of violations.",https://platform.stratascratch.com/coding/9739-worst-businesses?code_type=2,9739
top3WineriesInTheWorld_winemag_p1.csv,Wine Magazine,Top 3 Wineries In The World,interview questions,hard,hard,hard,"Find the top 3 wineries in each country based on the average points earned. In case there is a tie, order the wineries by winery name in ascending order. Output the country along with the best, second best, and third best wineries. If there is no second winery (NULL value) output 'No second winery' and if there is no third winery output 'No third winery'. For outputting wineries format them like this: 'winery (avg_points)'",https://platform.stratascratch.com/coding/10042-top-3-wineries-in-the-world?code_type=2,10042
bikesLastUsed_dc_bikeshare_q1_2012.csv,Lyft,Bikes Last Used,general practice,easy,easy,easy,"Find the last time each bike was in use. Output both the bike number and the date-timestamp of the bike's last use (i.e., the date-time the bike was returned). Order the results by bikes that were most recently used.",https://platform.stratascratch.com/coding/10176-bikes-last-used?code_type=2,10176
submissionTypes_loans.csv,Credit Karma,Submission Types,active interview,easy,easy,easy,"Write a query that returns the user ID of all users that have created at least one ‘Refinance’ submission and at least one ‘InSchool’ submission.",https://platform.stratascratch.com/coding/2002-submission-types?code_type=2,2002
totalOrderPerStatusPerService_uber_orders.csv,Uber,Total Order Per Status Per Service,active interview,easy,easy,easy,"Uber is interested in identifying gaps in their business. Calculate the count of orders for each status of each service. Your output should include the service name, status of the order, and the number of orders.",https://platform.stratascratch.com/coding/2049-total-order-per-status-per-service?code_type=2,2049
changeOfCurrencyExchangeRates_sf_exchange_rate.csv,Salesforce,Change of Currency Exchange Rates,active interview,easy,easy,easy,"You are given a list of exchange rates from various currencies to US Dollars (USD) in different months. Show how the exchange rate of all the currencies changed in the first half of 2020. Output the currency code and the difference between values of the exchange rate between July 1, 2020 and January 1, 2020.",https://platform.stratascratch.com/coding/2063-change-of-currency-exchange-rates?code_type=2,2063
medianSalary_employee.csv,Twitter,Median Salary,interview questions,easy,easy,easy,"Find the median employee salary of each department. Output the department name along with the corresponding salary rounded to the nearest whole dollar.",https://platform.stratascratch.com/coding/9900-median-salary?code_type=2,9900
duplicateEmails_employee.csv,Salesforce,Duplicate Emails,interview questions,easy,easy,easy,"Find all emails with duplicates.",https://platform.stratascratch.com/coding/9895-duplicate-emails?code_type=2,9895
duplicateOrders_orders.csv,Apple,Duplicate Orders,interview questions,easy,easy,easy,"Find customers who appear in the orders table more than three times.",https://platform.stratascratch.com/coding/9893-duplicate-orders?code_type=2,9893
